Aleluja	3
Angers	-3
Ano	1
Au	-2
Avenged	-2
Avengers	-2
Běda	-1
Bůh	1
Dobrodružství	2
Dobře zaměřená	2
Díky	2
FTW	3
Falšování	-3
Fuckhead	-4
GR8	3
Greets	1
Haha	3
Hmotný	1
Hra se měnící	3
Hrubý	-2
Hurá	5
Infested	-2
Ježíš	1
Jiskra	3
LMFAO	4
MAS	-2
Manipulace	-1
Na zdraví	2
Ne	-1
Nejnižší	-1
Nevýhodou	-2
Oblíbené	2
Obžaloby	-3
Oks	2
Pardon	2
Poctou	2
Podvedl	-2
Posiluje	2
Potvrzuje	1
Požadavky	-1
Problémové	-2
Promiňte	-1
Protivný	-3
Páni	4
ROTFL	4
Robing	-2
Roflmao	4
S pozdravem	2
SCHVALUJE	2
Smraďoch	-2
Starved	-2
Svoboda	2
Tyran	-3
V oblíbených	2
Vymaže	1
Vítejte	2
Zabezpečuje	2
Zajímám	2
Zamítnutí	-2
Zastavení	-2
Zbytečný	-2
Zneužití	-2
Způsobí	-2
Záchvat	-1
absentees	-1
absentér	-1
absolvoval	2
absolvování	2
adorace	3
affectionateness	3
agonises	-3
agrese	-2
agresivita	-2
akceptovat	1
akceptuje	1
akcie	1
aktiva	2
aktivní	1
aktivum	2
alergický	-2
altruistický	2
ambiciózní	2
ambivalentní	-1
angažovaný	1
antagonistický	-2
apatický	-3
apatie	-3
apeshit	-3
aplaudoval	2
apokalyptický	-2
appeasement	2
arogantní	-2
assfucking	-4
atentát	-3
atentáty	-3
atrakce	3
atraktivní	2
atraktivně	2
aura	1
autorita	1
averze	-3
axed	-1
bagatelizoval	-2
bailout	-2
bamboozles	-2
bankrot	-3
bankster	-3
barbar	-2
barbarský	-2
bariéra	-2
bastard	-5
bastardi	-5
bavit	3
bdělý	3
bereaves	-2
bereaving	-2
bez domova	-2
bez námahy	2
bez práce	-1
bezbranný	-2
bezcenný	-2
bezchybně	2
bezcitný	-2
bezduchý	-2
bezešvý	2
bezmocný	-2
beznadějnost	-2
beznadějný	-2
bezohledný	-2
bezpečnost	1
bezpečně	1
bezpečnější	2
bezproblémově	2
bezpráví	-2
bezradný	-2
bezstarostný	1
bezvadný	2
bezvýrazný	-2
bezvýznamný	-2
bezzubý	-2
bezútěšný	-2
bitterest	-2
bitva	-1
bitvy	-1
bizarní	-2
bičovat	-2
bla	-2
blaho	3
blahopřání	2
blahopřát	2
blažený	3
blbec	-3
blbost	-3
blbě	-2
blok	-1
blokování	-1
bloky	-1
blokáda	-2
bláhový	-2
blázen	-2
blázni	-2
bláznivý nápad	-2
bláznivější	-2
bodl	-2
bodnout	-2
bodnutí	-2
bohatství	3
bohatý	2
bohatě	2
bohatší	2
boj	-1
boje	-2
bojkot	-2
bojkotoval	-2
bojkotování	-2
bojkoty	-2
bojoval	-1
bojování	-2
bojuje	-2
bolavý	-1
bolení	-2
bolest	-2
bolest hlavy	-2
bolestivý	-2
bolestný	-2
bolí	-2
bombardovat	-1
bravurní	3
brilantní	4
brilliances	3
brutální	-3
brutálně	-3
bránit	-2
brání	-2
bujarý	2
bujný	4
buřičský	-2
báječný	4
báječně	4
bát	-2
bázlivý	-2
bída	-2
bídný	-3
bídně	-3
být sklíčený	-1
břemeno	-2
břitký	2
cena	3
