Alarmists	-2
Angers	-3
Avenged	-2
Avengers	-2
Avenging	-2
Bagairt ar	-2
Bain díot	-2
Beannacht	1
Bhuaigh	4
Bizarre	-2
Ceiliúrann	3
Chagrin	-2
Chliste	2
Cháin	-2
Clash	-2
Clears	1
Comhghairdeas	2
Comic	1
Cosnaíonn	1
Coward	-2
Creideamh	1
Cruelty	-3
Cuidíonn	2
Cáineadh	-2
Cáineann	-2
DIRT	-2
Dia	1
Diamond	1
Dick	-4
Dickhead	-4
Doirbh	-2
Douchebag	-3
Downer	-2
Dumpáil	-1
Déanann	1
Díodán	-2
ErrorUndefined	2
ErrorWithTranslation	2
Euphoria	3
FUD	-3
Faigheann	-2
Faraor	-2
Favorites	2
Feabhsaíonn	2
Fhéile	2
Forgot	-1
Fáiltíonn	2
GEM	3
Gearrtar	-3
Glacann	1
Gortaítear	-2
HARMS	-2
Hallelujah	3
Hardy	2
Honoring	2
Hurray	5
Idirbhriseadh	-2
Idirbhristeacha	-2
Is breá	3
Is breá fucking	4
Is féidir "t seasamh	-3
LMFAO	4
Laochra	1
Lolol	4
Machnamhach	1
Mangairí	-2
Memoriam	-2
Merry	3
Mhol	3
Molaim	2
Molann	2
Myth	-1
Méadaíonn	-2
Míúsáid	-3
Ní maith	-2
Ní oibríonn	-3
Nós	-3
Oops	-2
Paradise	3
Parley	-1
Púca	-1
ROFL	4
Readonly	-1
Reigning	1
Retreat	-1
Rob	-2
Scrúdóir	-2
Seaimpíní	2
Seirbigh	-2
Shéan	-2
Slais	-2
Slam	-2
Soiléiríonn	2
Solas na gréine	2
Spark	1
Stout	2
Sucks	-3
Sues	-2
Sulky	-2
Super	3
Síneann	1
Tacaíonn	2
Taifeach	2
Tears	-2
Tobscoireadh	-1
Toirmisceann	-1
Treasure	2
Trioblóidí	-2
Tréigthe	-2
Tubaiste	-2
Tuigeann	2
Tá súil	2
Táthar ag fanacht	-1
Uafásach	-3
WOW	4
Winwin	3
Woohoo	3
a bhaint amach	1
a cheiliúradh	3
a chur chun cinn	1
a chur siar	-1
a fuair bás	-3
a mhí	-2
a ndearnadh faillí orthu	-2
a nuachóiriú	2
a riocht	-2
a seoladh	1
a thuairisciú go míchruinn	-2
abairt	-2
abairtí mar	-2
abandons	-2
abductions	-2
abhor	-3
abhorred	-3
abhors	-3
aborts	-1
absolved	2
absolves	2
absorbed	1
abusing	-3
accomplish	2
accusations	-2
accuses	-2
accusing	-2
aching	-2
achomharc	2
achrannach	-3
aclaíochta	1
acquitting	2
adhaint	-2
adhair	3
admhaigh	-1
admhaíonn	-1
admire	3
admired	3
admires	3
admiring	3
admonished	-2
adorable	3
adoration	3
adored	3
adoring	3
adoringly	3
advantageously	2
adversary	-1
affectionate	3
affectionateness	3
affronted	-1
aficionados	2
ag baint taitnimh as	2
ag caoineadh	-2
ag cinntiú	1
ag comhlíonadh na gcritéar	2
ag cuidiú	2
ag cur	-2
ag fuck	-4
ag fáil bháis	-3
ag gáire	1
ag iarraidh	1
ag ligean	-1
ag moladh	3
ag streachailt	-2
ag séanadh	-2
ag súil	2
ag tabhairt aire	2
ag tabhairt cuireadh	1
ag tacú	1
ag titim	-1
ag éirí as oifig	-1
agairt	-2
aggravate	-2
aggravates	-2
aggressions	-2
aggressiveness	-2
aghast	-2
agog	2
agonises	-3
agonize	-3
agonized	-3
agonizes	-3
agonizing	-3
agreeable	2
agóid	-2
agóide	-2
agóidí	-2
agóidíocht	-2
aibí	2
aiféala	-2
ailléirgeach	-2
ailse	-1
aimsir	-2
aincheist	-1
aineolach	-2
aineolas	-2
aird a tharraingt ar	2
airdeall	3
aireach	-1
ais	1
aisling	1
aislingeach	3
aisteach	1
aitheantas	2
alarmed	-2
alarmist	-2
alas	-1
ally	2
altruistic	2
aláraim	-2
amadáin	-3
amadán	-2
amaideach	-1
amaze	2
amazed	2
amazes	2
amh	-1
amhantrach	-2
amhrais	-1
amhras	-1
amhrasach	-2
amhrasacha	-1
amscaí	-2
amuse	3
amused	3
amusements	3
amú	-2
an bonn	-2
anacair	-2
anchúinse	-2
angered	-3
anguish	-3
anguished	-3
animosity	-2
ann	1
annoying	-2
annoys	-2
anti	-1
antoisceach	-2
aoibh	2
aoibh gháire	2
aon spraoi	-3
aontaithe	1
aontaíonn	1
aontú	1
apathetic	-3
apathy	-3
apeshit	-3
apocalyptic	-2
appease	2
appeased	2
appeases	2
appeasing	2
applauding	2
apprehensive	-2
ar ais	1
ar buile	-2
ar mian leo	1
ardent	1
arduithe	1
ardú	1
arsehole	-4
as feidhm	-2
as láthair	-1
asal	-4
aslonnú	-1
assassinations	-3
assfucking	-4
asshole	-4
astonished	2
astound	3
astounded	3
astounding	3
astoundingly	3
astounds	3
athbheochan	2
athchóiriú	1
athló	-1
atrocious	-3
atrocity	-3
atruacha	2
atá ag teastáil	2
audacious	3
aura	1
avenger	-2
avenges	-2
averted	-1
averts	-1
avid	2
awaits	-1
ax	-1
axed	-1
bac	-1
bac a chur ar	-2
bacach	-2
bacainn	-2
badass	-3
badness	-3
bagairt	-2
bagairtí	-2
baghcat	-2
bagrach	-2
bail ar fónamh orthu	2
bailíochtaithe	1
baint	-1
baintreach	-1
bairr	2
balbh	-3
bamboozle	-2
bamboozled	-2
bamboozles	-2
banish	-1
bankster	-3
barbarian	-2
barbaric	-2
barbarous	-2
barróg	2
bastaird	-5
