Ache	-2
Adorable	3
Adore	3
Alas	-1
Amadain	-2
Angers	-3
Apocalyptic	-2
Aura	1
Avengers	-2
Awaits	-1
Bacadh	-2
Bastard	-5
Beachd dubhach air ìre	-2
Bheannaich	2
Bliss	3
Blockbuster	3
Borba	-2
Bruthaidh	-1
Brìbean	-3
Brùthadh	2
Buidheann	1
Buoyant	2
CARES	2
Cailleanach	-3
Caisgireachd	-2
Ceannlàidir	-2
Chaidh sgur dhen gheama	-1
Chan eil ag obair	-3
Chan eil spòrsail	-3
Chan eil tachartasan ann	-2
Chaochail	-3
Cheasnaich	-1
Cheistean	1
Chic	2
Chlisg	-2
Chòrd	2
Cion earbsa ann	-2
Clais	-2
Cofhartachd	2
Coisich amach	-2
Comharrachadh	3
Daingead	-4
Damn	-2
Damn cute	3
Damn math	4
Defunct	-2
Delicious	3
Derail	-2
Derision	-2
Despairs	-3
Dhaingnich	-2
Dick	-4
Discord	-2
Disguise	-1
Dizzy	-1
Dread	-2
Dul	-2
Dèanta suas	-1
Dùmhlachdbhreacaidh	2
Eibhinn	2
Enslaved	-2
ErrorWithTranslation	-3
Eudmhor	-2
Evergreen	2
Faisisteach	-2
Faker	-3
Fan	3
Fascists	-2
Fearless	2
Felony	-3
Fhagail	-3
Fiachan	-2
Fiasco	-3
Flawless	2
Flop	-2
Flops	-2
Frasan clachanmeallain	2
Frauds	-4
Freak	-2
Fuadach chon	-2
Fuck	-4
Funky	2
Fàilte	2
GOID	-2
Gallant	3
Garbage	-1
Gearradh	-2
Groan	-2
Gruamach	-2
Gràdhdaonna	2
Gu fortanach	3
Gun	-2
Gun chochòrdadh	-2
Gàg	-2
Hallelujah	3
Hardy	2
Hooligans	-2
Hug	2
Hugs	2
Idiot	-3
Insomnia	-2
Ionadsgudal	-1
Ionnsaighean	-2
Iosa	1
Jerk	-3
Jolly	2
Kidnap	-2
Kills	-3
LAG	-2
Lag	-1
Leig seachad	-1
Lonesome	-2
MHÀRBHADH	-2
Madainn mhath	1
Madness	-3
Meal do naidheachd	2
Memoriam	-2
Mhair	2
Mhol	2
Mholadh	2
Miracle	4
Miss	-2
Moody	-1
Motherfucker	-5
Mòrthubaist	-2
Nar leigeadh	-1
Neach	-2
Nollaig	2
Ochanaich	-2
Oich	-2
Onair	2
Ouch	-2
Outbreaks	-2
Paradise	3
Parley	-1
Pervert	-3
Preasantairean	5
Rapture	2
Rinn iad suas le	4
Riot	-2
Rob	-2
Romance	2
Saorsa	2
Satan	-1
Scream	-2
Seachd sgìth	-3
Serene	2
Sexy	3
Seòrsa de	0
Seòrsa siùrsach	-4
Sgaoil	1
Slick	2
Sloppy	-2
Slàinte	2
Smèid	2
Sneaky	-1
Sparkle	3
Sparkles	3
Suave	2
Sue	-2
Taibhsean	-2
Tarnished	-2
Tha gràin mhòr	-3
Tharraing	1
Thàinig gàire mòr air	2
Toileachas	5
Trioblaidean andràsta	-2
Troll	-2
Tubaist	-2
Unknown	2
Uptight	-2
Urras	1
WTF	-4
Woo	3
XO	3
Zealous	2
`ıorbhail	3
a bha ga thachdadh	-2
a bhacadh	-2
a bhuileachadh	3
a choisinn cliù	2
a chridhe briste	-3
a chumail	-2
a chur air bhog	1
a chur am meud	-2
a chur an grèim	-2
a chur dhan phrìosan	-2
a chur dheth	-1
a dhèanamh nas miosa	-2
a leigeil às	-2
a mheudachadh	1
a rinneadh ri linn	1
a tha ag iarraidh	1
a thoirt air falbh	-2
a thoirt seachad	2
abductions	-2
abhor	-3
abhorred	-3
abhors	-3
aborts	-1
absolved	2
absolves	2
absolving	2
accomplishes	2
accomplishment	2
accusations	-2
achmhasain	-2
acquit	2
acquits	2
acquitting	2
acras	-2
acrimonious	-3
adhartach	1
adhartachadh	1
adhartas	2
adhbhrachadh	-2
admires	3
admonish	-2
adoration	3
adores	3
adoring	3
adoringly	3
advantageously	2
affectionateness	3
affronted	-1
aficionados	2
ag aideachadh	-1
ag aontachadh	1
ag iarraidh	1
ag èirigh	1
ag ùrnaigh	1
agartach	-2
agartachd	-1
aggravates	-2
aggravating	-2
aggressiveness	-2
aghaidh	-2
aghast	-2
agog	2
agonises	-3
agonize	-3
agonized	-3
agonizes	-3
agonizing	-3
agusa	-2
aicheadh	-2
aideachadh	-1
aidh	1
aig prìs ruigsinneach	2
aighear	3
aighearach	3
aillse	-2
aimhreitean	-2
aineolach	-2
aineolas	-2
aingidh	-2
ainmeil	3
ainneartach	-2
air a sgaradh	-1
air ais	1
air bòrd	1
air chall	-2
air gràin a ghabhail	-3
air leth	5
air leth toilichte	3
air mhisg	-2
air thoiseach	2
aire	-2
airidh	2
airson	1
aislingean	1
aithne	2
aithreachas	-2
alarmist	-2
alarmists	-2
allergic	-2
altruistic	2
altrum	2
am bruid	-2
am falach	-1
amadain	-2
amadan	-3
amaideach	-3
amaze	2
ambivalent	-1
amh	-1
amharas	-1
amharasach	-2
amicable	2
amuse	3
an cosheirm	2
an crochadh	2
an nàire,	-2
an suarachas	-1
an sàs	1
an tacras	-2
an teagal	-2
ana	-1
anacainnt	-3
anacaitheamh	-2
anacleachdadh	-3
anacothrom	-2
anguished	-3
animosity	-2
ann an cunnart	-2
annas	3
annasach	-1
annoys	-2
antagonistic	-2
aodion	-1
aoibhneach	3
aoibhneas	3
aoidionach	-1
aoigheachd	2
aoluisge	-3
aonaichte	1
aonar	-2
aonaranach	-2
aonta	2
aonta a chur ris	2
aontachadh	-1
aontaidhean	2
aonuairsabheatha	3
aoradh	3
apathy	-3
apeshit	-3
appeased	2
appeases	2
appeasing	2
arrasbacan	-2
arsehole	-4
as bochda	-2
as fheàrr	3
as fheàrr Damn	4
as grinne	3
as inntinniche	2
as motha	3
asal	-4
ashame	-2
assfucking	-4
asshole	-4
astound	3
astounded	3
astounding	3
astoundingly	3
astounds	3
athbheothachadh	2
athnuadhachadh	1
athshealbhachaidh	-2
audacious	3
avenging	-2
avert	-1
averted	-1
averts	-1
axed	-1
bacadh	-2
bacadh a chur air	-2
bacadh air	-2
bacadhmalairt	-2
bacaidh	-1
bacail	-2
badass	-3
bagairtean	-2
bagarrach	-2
bagradh	-2
bailout	-2
balbh	-3
bamboozle	-2
bamboozled	-2
bamboozles	-2
banish	-1
bankster	-3
barantas	1
bargan	2
barrachd	1
bastards	-5
batail	-1
beadarach	3
beairteach	2
beairteas	3
beannachd	3
beannachdan	3
beannaich	2
beartan	-1
beathalachd	3
beatific	3
beautify	3
befit	2
befitting	2
beireachdainn	2
belittle	-2
belittled	-2
bereave	-2
bereaves	-2
bereaving	-2
betrays	-3
beusanta	2
beò	2
beòghlacadh	3
beòghlacadh leis	2
beòthail	2
bhacadh	-2
bhanntrach	-1
bhaothchluich	-1
bheadarrach	2
bheag shluagh	-1
bhioran	3
bhiotamain	1
bhite	-2
bhlàr	-1
bhoile	-3
bhrath	-3
bhris	-1
bhriseadh	-2
bhriseas	-2
bhrisidhean	-2
bhristeadh	-2
bhristeas	-2
bhrosnachadh	1
bhrosnaich	-1
bhrìbeadh	-3
bhuadhaiche	2
bhuail	-1
bhuaireas	-2
bhualadh	-2
bhuannachdail	2
bhuannachdaile	3
bhuannaich	4
bhàis	-2
bhàthadh	-2
bideanan	-2
bileagan	2
binn	-2
binne	3
bitches	-5
bitterest	-2
blackmailed	-3
blackmailing	-3
blackmails	-3
blah	-2
blissful	3
blithe	2
bloated	-1
blocaichean	-1
blurry	-2
blàth	1
blàthachadh na cruinne	-3
blàths	2
boastful	-2
bochd	-2
bochdainn	-1
bodraigeadh	-2
boillsgeach	3
boma	-1
bonn	3
boosts	1
borb	-2
bothersome	-2
boycotting	-2
boycotts	-2
brainwashing	-3
brath a ghabhail	-2
brath a ghabhail air	-2
braveness	2
bravura	3
breagha	1
breisleach	-2
breithean	-1
breithneachadh	-2
breug	-2
breugach,	-3
brice	-2
brilliances	3
briseadh	-2
briseadhcreideis	-3
briseadhdùil	-2
brisg	2
brisidhean	-2
briste	-1
briste ann an creideas	-3
bristeadh an lagha	-2
brooding	-2
brosnachadh	2
brosnachaidh	2
brosnachail	3
bruadar	1
bruid	-2
brèagha	2
brèige	-2
brìb	-3
brìbearachd	-3
brìoghmhor	2
bròn	-2
brònach	-2
brònchluich	-2
brùideil	-3
brùite	-2
bu bheartaiche	2
bu bhinne	3
bu mhiosa	-3
buadhachas	3
buadhair	3
buaidh	4
buain	-1
buaireas	-2
bualadh	-1
bualadh na chèile	-1
buannachd	2
buannachdail	2
buannachdan	2
buannaiche	4
buil	2
buileachadh	1
buirbe	-3
bullshit	-4
bummer	-2
burdening	-2
burglar	-2
burglary	-2
burraidh	-2
burraidheachd	-2
bàigh	3
bàsachadh	-3
bàsaich	-3
bàsan	-3
bàsmhor	-2
bàthadh	-2
bòidhchead	3
bòidheach	3
bùrach	-2
cabhagach	-1
cabhaig	-3
caidreabhach	2
cairidh	-1
caisg	-2
caisgireachd	-2
caitheamh	-2
caithream	3
call	-2
call ro mhòr air	-1
calms	2
caoidh	-2
caoimhneas	2
caoimhneas gràdhach	3
caoineadh	-2
caomhalachd	2
caoraich	-2
caraid	1
carthannais	2
casaid	-2
casaid a thogail	-1
casaidean	-2
casaidichean	-2
casg	-2
casg a chur air	-1
casg air	-1
cashing ann	-2
cead	2
ceadachadh	2
cealgach	-3
ceann	2
ceann goirt	-2
ceannairc	-2
ceannairceach	-2
ceannaircich	-2
ceannardas	1
ceannsachadh	-2
ceartas	2
ceasnachadh	-1
ceasnachail	2
ceist	-2
censors	-2
ceàrr	-2
cha mhath	-2
chagrin	-2
chagrined	-2
chaill	-3
chaith	-2
chan eil	-1
chananach	1
charisma	2
charm	3
charmless	-3
chastise	-3
chastises	-3
cheadachadh	1
cheannaircich	-2
cheater	-3
