Aktîvkirina	-1
Alêksandryê	-2
Ancax,	-2
Arjen Arî	4
Badenoş	2
Bakurê Îrlandê	3
Barak	-2
Bijara me	-2
Birîn	-2
Contender	-1
DYE	1
Da	-2
Dadgehê	-1
Dayîkê	-1
Debonair	2
Dilovan	-1
Diyarname	-2
Downer	-2
Dêrikê	1
Dîvana	-1
Emîna	-2
Erdhej	-2
ErrorUndefined	2
ErrorWithTranslation	3
Euphoric	4
Ev forume hate	-2
Evdên	-2
FDD	-2
Feryada	-2
Fidgety	-2
Fucktard	-4
Gallant	3
Glamourous	3
Goddamn	-3
Grodeau	-2
Guneyê ku	3
Hebûnên	-2
Hedîs	-2
Helêlûya	3
Hewcedarî bi	2
Hurray	5
Hêrsa	-2
JUMPY	-1
Ji mêje	-2
Kateter	-2
Kinderlähmung	-2
Kupaya	2
Kurdîtî	-2
LTTE	-1
Lakiha	3
Lovelies	3
Lênînîst	-2
Meditative	1
Mehkumê	-2
Memoriam	-2
Meqlûbê û	-2
Morsî	-2
Muhamedê	1
Mîxayîl	-3
NZ	-2
Nahêle	-2
Namtar	-2
Omewî	-3
Oney	2
Ouch	-2
Pa	2
Parlemanê	-3
Piştgiriyê	2
Piştgirîyê	1
Poşmaniya	-2
Pîhava,	-2
Pîrozbahî	3
Qaşmîrê	-2
Qelşên	-2
Qubadî	-2
QutkirinComment	-2
Qîrênên	-2
Radiwestîne	2
Revandin	-2
Romney pêkenîn	-2
Rêberê me	-2
Rêşbîn	-2
Sappy	-1
Scumbag	-4
Selfdixapandin	-2
Semayê	2
Svenska 中文	-2
Sûlhê	-2
TOBBê	-3
Taint	-2
Tapû bi bertîlxwarina	-3
Tara,	-2
Tariya	-1
Tengahiyê	-2
Tinaz	-2
Tinazan	-2
Touts	-2
Trênek	-2
Têgihîştina	2
Urdinê	-2
VIZIKEREK	2
Versyonekî	2
Weşaneke	1
Weşanxaneyê	-3
Xadirî	-2
Xiznê	2
Xwekuştina	-2
Yakovlev	-3
YÎK	-2
Yên mêrxas	2
Ziyanên	-2
Zêdetir	-2
aard	-4
abhor	-3
aborts	-1
absentee	-1
absentees	-1
absolves	2
absolving	2
acis	-2
aciz	3
aciz bike	-2
acizbûn	3
acizker	-1
acizkir	-3
acizî	-3
acrimonious	-3
acîl	-1
acîlîyet	-2
admires	3
admiring	3
adoringly	3
advantageously	2
adîl	2
affectionateness	3
aficionados	2
aggravates	-2
aggressiveness	-2
agir	-2
agirê	-2
agog	2
agonises	-3
agonize	-3
agonizes	-3
ahd	1
alarmist	-2
alarmists	-2
alas	-1
alerjîk	-2
aliyêbandora	-2
aliyêbandorên	-2
alozî	-3
alîgirê	1
alîgirên	1
alîkarane	2
alîkariya	2
alîkarî	2
alîkarî dike	2
alîkarîyên	2
alîkirin	1
amade kirin	1
amusements	3
anegorê	2
angarya	-2
angered	-3
angers	-3
anguished	-3
app	-4
appeases	2
aqibet	-2
aqilnegir	-2
aqilsivik	-2
arsehole	-4
ass	-4
assfucking	-4
asteng	-1
asteng kir	-1
astengan	-2
astengan,	-2
astengiyeke	-2
astengiyên	-2
astengkirin	-1
astoundingly	3
astounds	3
asê	-2
asîmlasyonê	-2
attractions	2
attractiveness	2
ava	3
avahî	2
avantajên	2
avenger	-2
avengers	-2
averts	-1
awayekî şefaf	2
awezê	-2
axivit	1
axînek	-2
axû	-2
axûr	-2
azadaxaftin	2
azadî	2
aş	2
aşxaneyên	-2
aşîretî	2
aşîtî	2
baborî	-2
badass	-3
badness	-3
badîhewa	-2
bala	2
balalîdan	-2
balalîdanî	-2
balkêş	3
balkêşane	3
balkêşî	3
balî	2
balûle	-2
balûletî	-3
bamboozle	-2
bamboozled	-2
bamboozles	-2
bandorbûna	3
bangkirina	1
baniya	2
bankster	-3
baqil	1
bar	-2
baranî	-1
barbar	-2
barekî	-2
barekî giran	-2
bargirankirin	-1
barrakirin	1
barêd	-2
bastard	-5
bavêta	-2
bawer	1
baweranîn	1
bawerbar	1
bawerdar	2
bawerî	2
bawerî,	2
baxşandin	1
baza	-3
bazserdanî	-4
baş	3
baş avabûye	2
baş fucking	4
baş ne	-2
başGroomed	2
başbelv	3
başgiraniya	2
başkirin	2
başkirina	2
başproportioned	2
başpêş	2
baştir	2
baştirîn	3
başî	3
be	1
beatific	3
beautify	3
becan	-1
bed	-2
bedel	2
bedenparêzî	1
bedew	3
bedewtirîn	3
bedkaranîn	-2
beecok	-2
bejî	-2
bejîtî	-2
bela	-3
belav bûne	2
belavbûna	-2
belayan	-3
belaş	1
belengaz	-2
belengazî	-2
belv	2
bend	-2
bendemayîna	-2
benefitting	2
berbad	2
berbayî	-2
berbiçavkirin	2
berdaye	-1
berdewam	2
berdiliyê	2
bereave	-2
bereaves	-2
bereaving	-2
bereket	3
bereketkirin	2
bereketên	3
berevanîya	-1
berf	-2
bergirtin	-1
bergirîkirinê	-3
berhemdar e	3
berhev bike	-1
berhevkirî	1
berjewendiyên	1
berjewendî	2
berketane	2
berpirsyar	-2
berpirsîyare	2
berpisîyarî	2
berpê	-2
berpêşî	-1
berterefkirin,	-2
bertîl û	-3
bertîl,	-3
bertîlgir	-3
bertîlgirî	-3
bervedanîn	-1
berxwedanî	2
berçavnegirtin	-1
best damn	4
besît	-2
betal	-1
betal bike	-1
betalkirin	-1
bextewartirîn	3
bextreşiyê	-2
bextê nexweş	-2
bexşandina	1
beytika	-2
bezar	-3
bi aheng	2
bi aramî	2
bi arzanî	2
bi baldarî	2
bi bandor	2
bi berjewend	2
bi berjewendî	2
bi biryarîn,	2
bi coş	3
bi darê zorê	-1
bi dengekî bilind	-2
bi derengî	-1
bi derewan	-2
bi dezavantaj	-2
bi dijwarî	-3
bi dilşewatî	-2
bi erzanî	-1
bi giranî	-1
bi girî	-2
bi hemdê	3
bi hewes	1
bi heybet	2
bi hez	2
bi hovîtî	-3
bi hêrs	-2
bi hêz	2
bi hêz dike	2
bi hêztir	2
bi kerî	-2
bi kêfxweşî	3
bi kêr nayê	-3
bi kêrê	-2
bi kêrî	2
bi kûrbûna	-3
bi lez	2
bi lêz	2
bi mane	-1
bi merdî	2
bi mêranî	2
bi neheqî	-2
bi paş dixîne	-1
bi paş xist	-1
bi qaçaxî	-2
bi qurban	-1
bi qîrîn	-2
bi rihetî	2
bi rêya xwe	1
bi rîya zorê	-2
bi rûmet	2
bi ser neket	-2
bi serdikeve û	3
bi serfirazî	4
bi serkeve	-2
bi sînor	-1
bi sînor dike	-2
bi talûke	-2
bi temamî	3
bi tirs	-2
bi vî tehrî	2
bi wêrekî	2
bi xerabî	-2
bi xurtayî	-2
bi xwe bipejirînin	2
bi xweşbînî	-3
bi xêr hatî	2
bi xîret	1
bi zûtî	-2
bi êş	-3
bi şahî	3
bi şaşwazî û	-2
bi şik	-2
bialiqin	3
bias	-1
biavêje	-2
bibal	2
bibalî	2
bibe egera	-3
bibexşînin	2
bibiryar	2
bibore	-1
bibîhîsin	-1
bicihanîn	2
bicihanînî	2
bicihhatî	2
bicî	2
bicîanînî	1
bidestxistina	4
bigerrin	-2
bigirin	-1
bigûman	2
biha	-2
biheq	2
bihevgirêdan	1
bihinkof	3
bihorîn	1
bihêrs	-1
bihêzkirina	2
bikaranîn	1
bikarnayê	-2
bikartê	2
bikef	3
bikrî	2
bikêrhatîbûna	2
bikêriya	2
bikşîne	-2
bilindtirîn	4
biloka	-1
bilvên	-2
bimane	2
bimbe	-1
bimiraq	2
bindest	-2
bindestî	-2
binerdkirin	-1
bingehkirin	2
binguhêhevketin	-1
bingûhhevketinî	-2
binketî	-2
binkol	-1
binpê dike	-2
binpêkirin û	-2
binpêkirinên	-2
binvekirin	-2
binvîsinin	-2
bipirs	-2
biqehirin	-3
biqîre!	2
birin	2
birine ser	-3
birnixîne	-2
birqanî	4
birqok	3
birrîn	-1
biryar	-2
biryardan	2
birçîman	-2
birçîme	-2
birçîtî	-2
birêvebirî	1
birîn	-1
birîndar	-2
birîndibe	-2
birînkirin	-2
birînên xwe	-2
biser	3
biserîneçûn	-2
bistrî	-2
bisînorkirin	-2
bitterest	-2
bivir	-1
bixêrhatina	2
bixûr	-2
bizdane	-2
bizdiyan	-2
bizewicin	-4
biçêrin	-2
biçûkdîtin	-1
biçûkkirî	-3
biîye	-2
bişarînin	-2
bişik	-1
bişirek	3
bişirî	2
bişirîn	2
bişûndekirin	-1
bişûşta	2
blah	-2
blithe	2
blokên	-1
bondorek	3
borî	-1
borîn	-1
borînî	2
borîxwestin	-1
bothersome	-2
boykot	-2
boykotê	-2
brainwashing	-3
braveness	2
bravura	3
brilliances	3
bullshit	-4
bully	-2
bullying	-2
buoyant	2
buyeran	-2
bê serfirazî	-2
bê çarerserkirin.	-2
bêalî,	2
bêaqil	-1
bêaqilane	-2
bêarmanc	-2
bêbal	1
bêbavane	-3
bêbawer	-1
bêbawer e	-3
bêbername	-2
bêbiryar	-1
bêde	-3
bêdeng	2
bêdudilî	1
bêedebiya	-2
bêerk	-2
bêfêkî	-2
bêgûman	-1
bêhemd	-2
bêheş	-2
bêhne	2
bêhnfire	2
bêhnijiye	-2
bêhntengî	-2
bêhnên	-2
bêhurmetî	-2
bêhêviyê	-3
bêhêvî	-2
bêhêvîtî	-2
bêkar	-1
bêkarhat	-2
bêkarî	-2
bêkêr	-2
bêkêriya	-2
bêkêrîya	-2
bêleke	2
bêmal	-2
bêmalî	-1
bêmane	-2
bênefes	-2
bênirx	-2
bênteng bûyî	-3
bêparkirina	-3
bêpersîyar	-2
bêpîvan	-2
bêqesd	-2
bêqîmet	-2
bêriyê	-2
bêronî	-3
bêrîkirina	1
bêrûmet	-2
bêsazî	-2
bêsebir	-2
bêsûc	2
bêtahmiyê	-2
bêtalih	-2
bêtifaqiyê	-2
bêtirs	2
bêwestan	-1
bêxem	-2
bêxewî	-2
bêzar	-2
bêziravan	-2
bêçalakîtiyê	-2
bêçare	-2
bêşaşî	2
bêşdan	2
bêşdarîya	2
bîj	-5
bînbed	-2
bînkêşanê	-2
bînteng	-2
bîrawer	1
bîrker	-2
bîrîndarî	-3
bûbûm	-2
bûye	-1
bûyerê ecêb	-3
bękes e	-2
būye	-2
cahil û	-2
carefulness	2
carekê di jiyanê de	3
casûsên	-3
cebr	-3
cebrî	-3
cehaletê	2
cehnem	-4
celbî	-2
cenazeyên	-1
centilmeniya	3
cesaret	2
cesûr	2
cewher	3
cewr	-2
ceza	-2
ceza sicnê	-2
cezadanî	-2
cezakirin	-2
cezakirin,	-2
cezayên çendqat	-2
chagrin	-2
chagrined	-2
charmingly	3
charmless	-3
chastises	-3
chastising	-3
cheater	-3
cheaters	-3
cheerless	-2
cheery	3
cherishing	2
chide	-3
chided	-3
cih:	2
cihekî	-1
cihêkarî	-2
cihêtiyê	-2
cinnet	3
cisaretdan	2
cisaretdanî	2
civaké	-2
ciwane	2
classy	3
cocksucker	-5
cocksuckers	-5
cocky	-2
collides	-1
colliding	-1
commits	1
conciliated	2
conciliates	2
conciliating	2
conflictive	-2
consolable	2
contagions	-2
contaminant	-2
contaminants	-2
contaminates	-2
contaminations	-2
contestable	-2
controversially	-2
convinces	1
convivial	2
cool stuff	3
courageousness	2
coverup	-3
coziness	2
crap	-3
crappy	-3
crazier	-2
craziest	-2
crestfallen	-2
criminate	-3
criminated	-3
criminates	-3
crushes	-1
cunt	-5
cutback	-2
cute	2
cî	2
cîhanê	2
cûdakarî	-1
cûreyek	0
dUverişîn	-3
da dest	-3
daborîyê	2
dagirî	-1
dagîrker	-2
damn	-2
damn baş	4
damn cute	3
daniya,	2
danînê,	1
danîya	-1
dar neketin.	-2
dardekirin	-1
daring	2
darizandin	-2
dauntless	2
dawayên	-2
dawerivandî	1
dawetname	-2
dawî de	-1
daxistin	-2
daxwaz	1
daxwaza	-1
daxwazên	-1
dayîn	1
de bereat	2
de bi berferehî	1
de biryarê dide	2
de borîne	-2
de bêyên	-2
de didîtin li	2
de garantî dike	2
de kelegerm	2
de mêxabin	-2
de nehiştiye	3
de pirs ji	-2
de sist	-3
de temam dibe	2
de veşart	-1
de winda dibe	-1
de xençerek	-2
de xirabtir bû	-3
de çewtî	-2
deadening	-2
def	-3
defrauds	-3
deft	2
dehndarê nikarda	-2
dehumanize	-2
dehumanizes	-2
deject	-2
dejecting	-2
dejects	-2
dek	-1
dekkirin	-1
delal	3
delectable	3
delightfully	3
demane	3
demarên	-1
demdirêj	-2
demoralize	-2
demoralizes	-2
deng kirin	-1
dengbilind	-1
dengo hene	-1
denier	-2
deports	-2
derails	-2
derba kûştinê	-3
derbas	-3
derbasbar	-2
derbaskirin	-2
derbasî	-2
derbe	-3
derd	-2
derdura	2
derengxistin	-1
derew kirin	-2
derewîn	-3
derfetên	2
derides	-2
derizandî	-3
dermanê paqijîyê	2
dernayên	-2
derpê	-1
dersbasdibe	-1
dersînorkirin	-2
derxistin	-2
derzên	-3
despairs	-3
despotiya	-2
dest xistin	2
destdirêjî	-3
deste	-1
deste,	1
destketiyên	2
destnîşankirin	2
destpêkirin	1
destûrdan	1
destûrdanî	2
detract	-1
detracted	-1
detracts	-1
dev ji	-2
devjeniyên	-2
devjêberdan	-2
devotional	2
dewamê	-2
dewir	-1
dewlemend	2
dewlemendtir	2
dewlemendî	3
dewruber	3
dewsê	-2
dexs	-1
deyndar	-3
deynin	-2
di cî de	1
di fêlbaziya	1
di girtîgehê de	-2
di jiyanê de	2
di mîtingê de	-2
di piratîkê de	-2
di tura	-2
di vê êrîşê	3
di xuyanga	3
di çerçoveya	-3
dibehecî	-2
dibet	-1
dibijiya	-3
dibişire	2
diceribandin	-2
dick	-4
dickhead	-4
didîtin	-2
difetisand.	-1
digirîn	-2
dihêt:	-4
diire	-2
dijberê	-2
dijmin	-2
dijminatî	-2
dijminên	-2
dijrabû	-2
dikarin bi "t stand	-3
dikenandin	3
diketin	-1
dikeve	-2
dikinê	1
dikir	-2
dikirin	-2
dikê.	-2
dikîn	-3
dilane	3
dilerizim	-2
dilfireh	3
dilfirehkirane	2
dilhebîn	2
dilkişînî	2
dilkûrî	2
dilligence	2
dilmezin	2
dilnerazîbûn	-2
dilnerazîtî	-2
dilnermî	2
dilnexwazî	-3
dilnizm	2
dilnizmî	2
dilopkirin	-1
dilovan	2
dilpak	2
dilpaqij	2
dilperçeker	-3
dilqê	-1
dilrast	2
dilrastî	2
dilsar	-2
dilsoz	1
dilêşî	2
dilşa	2
dilşadiyan	3
dilşahî	2
dilşane	2
dimeşîne,	1
dimije	-2
dinale,	-2
dinêre	3
dinêye	-2
diparêze,	1
dipergîne û	-2
dipeyîvin	2
dipshit	-3
dipê	-2
diravdanî	-1
diravê bertîlê	-3
dire	-3
direful	-3
direve	-3
direve.	-1
direvîne	-2
direş	-2
dirêjkirin	3
dirêjî	-2
disagreeable	-2
disappointments	-2
disapprovals	-2
discards	-1
disconsolate	-2
disconsolation	-2
disguising	-1
disgustful	-3
dislikes	-2
disparage	-2
disparages	-2
disquiet	-2
distinguished	2
ditirsim	-2
ditirsînin	-3
ditirsîya	-2
divarqilim	-2
diwarekî	-1
diweşand,	2
dixana bînxweş	-2
dixapînin	-3
dixelîya	-3
dixeniqe	-2
dixwaze	2
dixwe	2
diyarker	1
diyarî	-2
diz	-2
dizî	-2
dizîn	-2
dizîve	-1
diçii	-1
diçikand	-2
diçû	3
diêşe	-2
diêşîne	-2
dişê	-2
dişêlînin	-3
dişîne,	-2
dodging	-2
dohnkirin	-2
domdar	2
domdariyê	1
donates	2
dont wek	-2
dorberê	-1
dostane	2
dostanî	2
dostî	2
douche	-3
douchebag	-3
downside	-2
doz	-2
dozkirin	-2
dozxwazî	-1
dozê	-2
dreading	-2
droopy	-2
dua	1
dud	-2
dudil	-2
dudilî	-2
dudilî bûn	-1
dudilî ne	-1
dumps	-1
dupe	-2
dupery	-2
durr û	1
durû	-2
dysfunction	-2
dê nûjenîyekê bi xwe	1
dêlik	-5
dêrê	-2
dîk	-5
dîkey	-2
dîl	3
dîn	-2
dînbûnê	-3
dînikî	-3
dînê	-2
dînî	-3
dîsajîyandin	2
dîskrîmînekirina	-2
dîtiban	-1
dîtinî	1
dîyarî	2
dûakirin	1
dûbare	-1
dûdilî	-1
dûrbîn	2
ecstatic	4
ecêb	4
ecêbker	-3
ecîbma	3
edelatê	2
eery	-2
efnabe	-3
efû	2
ehmeq	-3
ekstremîst	-1
elegantly	2
embarrasses	-2
emelxirab	-3
empatîk	2
emîn	1
encamnameya	-1
enchanted	2
endîşedar	-3
enerjîk	2
enfeksiyonan	-2
enirîn	-2
ennui	-2
enrages	-2
enraging	-2
enrapture	3
enthrall	3
envies	-1
erc	1
erdnigarîya	-2
erke	2
erzan	2
erê	2
erêkirî	2
erênî	2
esîl	2
etyka	-2
etîkî	2
euphoria	3
evergreening	-3
evergreens	2
evsene	-2
evîn	3
ewle bûn	2
ewlehî	1
ewlehîya	-2
ewlekarî	1
ewletir	2
ewqasî	-2
ewqasî bi	-2
exasparate	-2
exasperates	-2
exasperating	-2
excruciatingly	-1
exhilarated	3
exhilarates	3
exonerating	2
expertly	2
exultantly	3
eyan	2
eyankirin	2
eyb	-2
ez avêtim	-2
ezabê	-3
ezimanden	1
ezin	-2
ezman	2
